Total boxes: 431
obj-164 | comment | Pitch
obj-3 | comment | Pitch
obj-218 | flonum | 
obj-219 | comment | dB
obj-217 | flonum | 
obj-215 | comment | dB
obj-213 | levelmeter~ | 
obj-212 | levelmeter~ | 
obj-211 | comment | Amplitude set in linear (0. to 1.)

0 = -inf dB 
0.5 = -0.62dB
1 = 0dB

Objetos meter al final del flujo indican el valor de la mezcla en decibeles
obj-170 | message | 0 200
obj-171 | newobj | line 0. 20
obj-158 | message | 0 200
obj-161 | newobj | line 0. 20
obj-153 | message | 0 200
obj-155 | newobj | line 0. 20
obj-129 | message | 0 200
obj-144 | newobj | line 0. 20
obj-127 | message | 0 200
obj-128 | newobj | line 0. 20
obj-125 | message | 0 200
obj-126 | newobj | line 0. 20
obj-124 | newobj | line 0. 20
obj-121 | message | 0 200
obj-123 | newobj | r zero1
obj-99 | message | 0 200
obj-90 | newobj | line 0. 20
obj-19 | newobj | r zero8
obj-11 | newobj | r zero7
obj-10 | newobj | r zero6
obj-9 | newobj | r zero5
obj-7 | newobj | r zero4
obj-6 | newobj | r zero3
obj-5 | newobj | r zero2
obj-138 | newobj | r 2amp
obj-145 | message | 0
obj-141 | newobj | loadbang
obj-130 | newobj | r 8mutem
obj-131 | newobj | r 7mutem
obj-132 | newobj | r 6mutem
obj-133 | newobj | r 5mutem
obj-134 | newobj | r 4mutem
obj-135 | newobj | r 3mutem
obj-136 | newobj | r 2mutem
obj-137 | newobj | r 1mutem
obj-105 | newobj | r 8solom
obj-109 | newobj | r 7solom
obj-110 | newobj | r 6solom
obj-113 | newobj | r 5solom
obj-116 | newobj | r 4solom
obj-117 | newobj | r 3solom
obj-118 | newobj | r 2solom
obj-120 | newobj | r 1solom
obj-254 | newobj | r 8lvl
obj-255 | meter~ | 
obj-256 | newobj | r 8mute
obj-259 | newobj | r 8amp
obj-260 | newobj | r gpitch8
obj-261 | newobj | s solo8
obj-262 | newobj | s mute8
obj-263 | newobj | == 0
obj-264 | toggle | 
obj-265 | toggle | 
obj-267 | slider | 
obj-278 | newobj | r vol8
obj-282 | newobj | togglecolor
obj-284 | newobj | s vol8
obj-285 | newobj | volcolor
obj-286 | flonum | 
obj-287 | newobj | s pitch8
obj-294 | flonum | 
obj-295 | message | 8
obj-296 | toggle | 
obj-140 | newobj | r 7lvl
obj-142 | meter~ | 
obj-143 | newobj | r 7mute
obj-146 | newobj | r 7amp
obj-147 | newobj | r gpitch7
obj-148 | newobj | s solo7
obj-149 | newobj | s mute7
obj-150 | newobj | == 0
obj-151 | toggle | 
obj-152 | toggle | 
obj-154 | slider | 
obj-156 | newobj | r vol7
obj-157 | newobj | togglecolor
obj-159 | newobj | s vol7
obj-163 | newobj | volcolor
obj-165 | flonum | 
obj-166 | newobj | s pitch7
obj-167 | flonum | 
obj-168 | message | 7
obj-169 | toggle | 
obj-87 | newobj | r slidepitch8
obj-86 | newobj | r slidepitch7
obj-68 | newobj | r 6lvl
obj-67 | newobj | r 5lvl
obj-64 | meter~ | 
obj-62 | meter~ | 
obj-58 | meter~ | 
obj-60 | newobj | r 4lvl
obj-54 | meter~ | 
obj-55 | newobj | r 3lvl
obj-52 | meter~ | 
obj-53 | newobj | r 2lvl
obj-51 | meter~ | 
obj-50 | newobj | r 1lvl
obj-71 | newobj | r slidepitch6
obj-69 | newobj | r slidepitch5
obj-12 | newobj | r slidepitch4
obj-13 | newobj | r slidepitch3
obj-14 | newobj | r slidepitch2
obj-15 | newobj | r slidepitch1
obj-288 | newobj | r 6mute
obj-289 | newobj | r 5mute
obj-290 | newobj | r 4mute
obj-291 | newobj | r 3mute
obj-292 | newobj | r 2mute
obj-293 | newobj | r 1mute
obj-257 | newobj | r 6amp
obj-243 | newobj | r 5amp
obj-235 | newobj | r 4amp
obj-234 | newobj | r 3amp
obj-160 | newobj | r 1amp
obj-65 | newobj | r gpitch6
obj-61 | newobj | r gpitch5
obj-29 | newobj | r gpitch4
obj-21 | newobj | r gpitch3
obj-18 | newobj | r gpitch2
obj-17 | newobj | r gpitch1
obj-220 | newobj | s solo6
obj-221 | newobj | s mute6
obj-222 | newobj | == 0
obj-223 | toggle | 
obj-224 | toggle | 
obj-225 | newobj | s solo5
obj-226 | newobj | s mute5
obj-227 | newobj | == 0
obj-228 | toggle | 
obj-229 | toggle | 
obj-196 | newobj | s solo4
obj-197 | newobj | s mute4
obj-198 | newobj | == 0
obj-199 | toggle | 
obj-207 | toggle | 
obj-191 | newobj | s solo3
obj-192 | newobj | s mute3
obj-193 | newobj | == 0
obj-194 | toggle | 
obj-195 | toggle | 
obj-179 | newobj | s solo2
obj-180 | newobj | s mute2
obj-181 | newobj | == 0
obj-182 | toggle | 
obj-190 | toggle | 
obj-178 | newobj | s solo1
obj-177 | newobj | s mute1
obj-162 | newobj | == 0
obj-115 | toggle | 
obj-114 | toggle | 
obj-248 | slider | 
obj-240 | slider | 
obj-232 | slider | 
obj-70 | slider | 
obj-20 | slider | 
obj-8 | slider | 
obj-31 | newobj | r vol6
obj-32 | newobj | togglecolor
obj-277 | newobj | s vol6
obj-276 | newobj | s vol5
obj-275 | newobj | s vol4
obj-274 | newobj | s vol3
obj-273 | newobj | s vol2
obj-272 | newobj | s vol1
obj-236 | newobj | volcolor
obj-237 | flonum | 
obj-238 | newobj | volcolor
obj-239 | flonum | 
obj-241 | newobj | volcolor
obj-242 | flonum | 
obj-244 | newobj | volcolor
obj-245 | flonum | 
obj-246 | newobj | volcolor
obj-247 | flonum | 
obj-252 | newobj | volcolor
obj-253 | flonum | 
obj-188 | newobj | s pitch6
obj-187 | newobj | s pitch5
obj-186 | newobj | s pitch4
obj-185 | newobj | s pitch3
obj-184 | newobj | s pitch2
obj-122 | flonum | 
obj-119 | flonum | 
obj-111 | flonum | 
obj-108 | flonum | 
obj-100 | flonum | 
obj-97 | flonum | 
obj-101 | message | 6
obj-112 | message | 5
obj-57 | message | 4
obj-46 | message | 3
obj-35 | message | 2
obj-4 | message | 1
obj-1 | comment | Pitch
obj-22 | toggle | 
obj-33 | newobj | r vol4
obj-34 | newobj | togglecolor
obj-36 | newobj | r vol5
obj-37 | newobj | togglecolor
obj-38 | toggle | 
obj-39 | toggle | 
obj-40 | newobj | r vol2
obj-41 | newobj | togglecolor
obj-42 | newobj | r vol3
obj-43 | newobj | togglecolor
obj-44 | toggle | 
obj-45 | toggle | 
obj-47 | newobj | r vol1
obj-48 | newobj | togglecolor
obj-49 | toggle | 
obj-94 | newobj | controlmachine
obj-107 | comment | R
obj-106 | comment | L
obj-103 | newobj | r mixout1
obj-233 | newobj | solomachine
obj-56 | newobj | soundmachine
obj-408 | panel | 
obj-409 | panel | 
obj-pw1_slider | slider | 
obj-pw1_send | newobj | s PW1
obj-pw1_label | comment | Duty Cycle
